Factors,Mean,Std_Dev,Mean_Rank,Skewness,Kurtosis,Cluster
F4,-1.84,0.366,1,1.893,1.606,1
F2,-1.72,0.451,2,0.987,-1.04,1
F1,-1.68,0.47,3,0.762,-1.441,1
F3,-1.43,0.497,4,-0.279,-1.95,1
F13,-1.39,0.489,5,-0.463,-1.812,1
F5,-1.37,0.484,6,-0.558,-1.713,1
F8,-1.13,0.358,7,-1.739,2.738,1
F12,-1.04,0.237,8,-2.759,13.896,2
F15,-0.57,0.723,9,1.002,0.142,1
F6,-0.45,0.499,10,-0.219,-1.981,2
F16,-0.17,0.373,11,-1.82,1.332,2
F9,-0.02,0.189,12,-2.912,25.071,2
F17,-0.02,0.146,13,-6.657,42.927,3
F11,-0.01,0.12,14,-8.245,66.941,3
F10,-0.01,0.085,15,-11.79,139.0,3
F7,0.0,0.0,16,,,2
F18,0.01,0.614,17,-0.199,0.365,2
F14,0.06,0.646,18,-0.054,-0.572,2
